flavor,ice_cream,hot_fudge,caramel,marshmallow,whipped_cream,nuts,cherry,banana,calories
mexican vanilla,2,1.49521292643,1.72721002705,1.49521292643,0.861069750803,0.894269126024,0,5,983.486749973
sweet cream,0,0.546777648948,1.70002139501,0.546777648948,1.07358748683,0.789983536741,0,2,449.78549822
triplemex,3,1.80050250968,0.155518552533,1.80050250968,0.822807159368,0.170067350393,0,11,954.539235095
mexican vanilla,2,2.16838816955,0.443672400869,2.16838816955,0.533540245522,0.552271044061,1,7,957.529776684
vanilla,1,2.12418487212,1.02067957041,2.12418487212,0.834939314194,0.256717397609,0,2,850.663537984
triplemex,3,1.37479015737,0.795859128975,1.37479015737,1.06350311534,0.273204600794,0,13,961.244663652
triplemex,3,1.72875865917,0.50575269581,1.72875865917,1.13930406157,0.758659800635,0,5,991.099991689
triplemex,3,2.20120896379,0.231495619931,2.20120896379,0.909082145085,0.547987738232,0,4,1050.69862801
sweet cream,0,3.58571554715,0.990973499964,3.58571554715,0.886461602544,0.685254244914,1,17,1179.42931685
triplemex,3,1.19342645108,0.168343949654,1.19342645108,0.930249565984,0.724769129323,1,1,791.288658213
vanilla,1,0.794216901417,1.16094273449,0.794216901417,0.779090575395,0.613672201756,1,4,574.611970219
vanilla,1,2.00316203311,0.442207048176,2.00316203311,1.31412756779,0.22462706767,1,1,738.865939431
vanilla,1,1.19334134371,1.80101538504,1.19334134371,1.06411651403,0.977176707491,1,17,855.85941117
triplemex,3,0.644519870634,1.73144084522,0.644519870634,0.754672717023,0.547187498086,1,17,958.242851082
sweet cream,0,1.04162844576,0.941128032499,1.04162844576,1.03721488274,0.158063201105,1,16,505.777195433
vanilla,1,2.05607544745,0.810089684993,2.05607544745,0.948548805327,0.743761578619,1,19,920.308783985
triplemex,3,2.64458221594,0.0387530326818,2.64458221594,0.921301965167,0.510766602204,0,2,1120.86725472
vanilla,1,2.54209021699,0.762724311626,2.54209021699,0.626309452734,0.541931300647,0,17,1004.03824165
triplemex,3,1.61153969902,0.607085778867,1.61153969902,0.784886781864,0.531251425486,0,6,967.789457114
triplemex,3,0.80315086156,1.19740355405,0.80315086156,1.06543224993,0.169491331914,0,7,843.396273093
triplemex,3,1.90931652132,0.453587114587,1.90931652132,1.27975601814,1.00826226759,1,3,1040.01835904
vanilla,1,1.77427545692,0.546139084612,1.77427545692,1.40588028978,0.0355969994473,0,8,715.516619213
vanilla,1,2.94408956322,0.558183498188,2.94408956322,1.00878104538,0.762151580558,0,19,1097.92774293
sweet cream,0,3.60324625993,0.334766329244,3.60324625993,0.965231483373,1.49017244011,0,13,1098.25698824
triplemex,3,0.889515658337,0.198958177777,0.889515658337,1.21799759146,1.02929332474,0,18,814.43128822
sweet cream,0,2.03003913547,1.19181070998,2.03003913547,1.16321534524,1.16225882433,1,16,841.700054344
vanilla,1,0.671600722183,1.20171124747,0.671600722183,1.40347165885,0.808873017055,1,0,544.82829179
triplemex,3,2.12274738285,0.0366041482425,2.12274738285,1.25026802495,0.811653851693,1,6,1035.76230473
sweet cream,0,1.36278615623,0.943461487753,1.36278615623,0.901036187751,0.190333140114,1,17,591.940708727
vanilla,1,3.27912205354,0.308199435173,3.27912205354,0.969740460214,0.31366952495,1,19,1129.45182859
triplemex,3,1.98855385388,0.101547228651,1.98855385388,1.01118775093,0.0117051158697,1,12,1000.04530557
vanilla,1,2.91628961978,0.232262624701,2.91628961978,0.762937450067,0.841318149526,1,10,1007.08120573
vanilla,1,1.43071598321,0.867768376193,1.43071598321,0.929145999085,0.081507767242,1,19,739.352808587
sweet cream,0,1.46574677766,0.969580189028,1.46574677766,0.871366644771,0.777826522236,1,3,580.735982039
vanilla,1,2.62804436194,0.112309124814,2.62804436194,0.89008844243,0.0885087934055,0,9,867.403606416
vanilla,1,3.816198726,0.420352042062,3.816198726,0.833139544416,0.948371843266,1,11,1271.18619633
mexican vanilla,2,1.21124151185,1.31449517932,1.21124151185,1.31121656403,0.678650290449,1,10,876.406901896
sweet cream,0,1.74660315901,0.198348048678,1.74660315901,0.671605096808,0.516916707283,1,19,600.621673194
triplemex,3,2.31925635762,0.980581859792,2.31925635762,0.837060323894,0.705735516178,0,14,1249.88462677
vanilla,1,1.35363845952,0.58797693556,1.35363845952,0.785631772029,0.00953882878384,1,9,623.368150829
vanilla,1,2.37525211027,1.16171627711,2.37525211027,0.81143453817,1.10127668587,0,0,966.625779733
mexican vanilla,2,3.0703072111,0.0318482351814,3.0703072111,0.689462365338,0.398185329473,1,2,1089.77900345
mexican vanilla,2,3.22180397284,0.060280759081,3.22180397284,0.766026589565,1.0909865424,0,7,1184.17064691
mexican vanilla,2,2.5737974142,0.933883441716,2.5737974142,1.23891920669,0.170505305856,0,18,1165.96848875
vanilla,1,2.7627679884,0.0828352056695,2.7627679884,1.02096252455,0.933880817762,1,8,942.979019035
mexican vanilla,2,1.91051037705,0.399704653931,1.91051037705,0.967156506087,0.423474126882,1,14,918.494250744
sweet cream,0,2.70551079606,0.395513134858,2.70551079606,1.08787968019,0.342271529044,1,9,814.521283137
vanilla,1,1.74622793503,0.113039362848,1.74622793503,0.97831138067,0.904584853888,0,18,733.568621925
triplemex,3,2.89179779176,0.0417698816072,2.89179779176,0.913497342882,0.379396363367,1,11,1229.49272709
mexican vanilla,2,0.421578013229,1.67798040886,0.421578013229,0.785080301702,0.35675404843,1,15,738.209909471
mexican vanilla,2,1.20024758596,0.743881685962,1.20024758596,1.15767350214,1.49543493777,1,16,857.67728429
sweet cream,0,2.81635423593,0.0955736158764,2.81635423593,0.674764127565,0.860399053491,0,16,846.842667059
vanilla,1,1.89226927532,0.0466525288131,1.89226927532,1.02905575725,0.00821220283004,1,8,673.708254352
vanilla,1,1.63182263578,0.823117742977,1.63182263578,0.856673099615,0.318335159261,0,11,746.193463152
triplemex,3,3.84305738358,0.183191815077,3.84305738358,0.620641878596,1.4177495608,0,2,1485.09573123
sweet cream,0,2.87695577735,0.639187635003,2.87695577735,0.779726180518,0.771778004073,0,17,944.943799236
vanilla,1,1.67571790419,0.47581617583,1.67571790419,1.11806429747,0.0765523186752,0,16,720.074032736
triplemex,3,0.993184561259,1.00478093239,0.993184561259,1.02227734588,0.743212601001,1,17,948.352128991
triplemex,3,1.57096086512,1.08100064495,1.57096086512,1.24926191821,0.0621794951754,0,18,1068.99338313
sweet cream,0,1.05073009552,1.26924778785,1.05073009552,1.18349801779,1.09253803057,0,3,532.164577727
mexican vanilla,2,1.2355706825,0.980174168915,1.2355706825,1.0873578345,0.924135585006,0,19,879.824437888
vanilla,1,2.8958964466,0.272692588264,2.8958964466,1.01978248801,0.0706341769336,0,15,988.567968641
vanilla,1,1.06477145151,1.65654573185,1.06477145151,1.15002336656,0.989098077981,0,14,780.329813487
sweet cream,0,3.58793909419,0.329391585053,3.58793909419,1.09826786801,1.1188754785,1,14,1089.12342817
vanilla,1,1.2038500279,1.14849002707,1.2038500279,1.01129236183,1.22379736801,1,8,727.516218329
triplemex,3,3.07716050216,0.13765181082,3.07716050216,0.789285085422,0.446245019282,0,16,1309.56442881
vanilla,1,1.75526319561,1.38448557549,1.75526319561,1.23717737579,0.988795087207,0,19,937.825808594
mexican vanilla,2,1.20812500471,0.72108368509,1.20812500471,0.95673155684,0.398921393838,1,13,784.793726087
triplemex,3,1.92691634053,0.0105070852069,1.92691634053,1.1521342395,0.77492880139,0,17,1027.2686619
vanilla,1,2.49944913048,0.324975330235,2.49944913048,1.05802984334,0.556549093985,1,15,929.900275601
mexican vanilla,2,1.51685754287,0.695194952636,1.51685754287,1.17433726077,1.15205079067,1,4,852.490866233
triplemex,3,3.1594703558,0.879828587916,3.1594703558,1.19009799287,0.224808065592,0,6,1383.60306436
vanilla,1,3.95024149215,0.436308406518,3.95024149215,1.13214785673,0.544837146986,0,9,1271.30567422
triplemex,3,2.64964329615,0.841699704078,2.64964329615,1.30760103079,1.02848496055,1,5,1294.55083592
sweet cream,0,1.76650853694,0.543872012992,1.76650853694,1.18104831889,0.700742572072,0,4,587.693451338
triplemex,3,1.7987217478,0.220667276808,1.7987217478,1.02288030198,0.723634825568,0,3,953.145312165
vanilla,1,3.44403347339,1.15789901739,3.44403347339,1.25573286273,1.37001052164,0,11,1305.23960994
sweet cream,0,3.59501394424,0.976540410877,3.59501394424,1.23763007047,0.439625151302,0,6,1107.11684582
sweet cream,0,0.358088114455,3.3129279637,0.358088114455,1.38626432331,0.212454915183,0,5,633.174083514
triplemex,3,1.87354908469,0.392184812442,1.87354908469,1.10973916189,1.23348233354,0,14,1078.76702301
triplemex,3,0.145346338355,6.75160379316,0.145346338355,0.901353132974,1.41479074573,0,17,1623.02751591
mexican vanilla,2,1.22460618777,1.18955084313,1.22460618777,1.21552912527,0.90916913701,1,12,881.766863265
triplemex,3,3.75448387064,0.236919214529,3.75448387064,1.019909289,0.164105486854,1,4,1429.52339849
sweet cream,0,2.16226696288,0.0889149076358,2.16226696288,1.12500699405,1.20699923609,1,5,656.253994622
sweet cream,0,0.875045064592,1.12402577038,0.875045064592,0.905453729038,0.450968211951,1,9,470.157172135
mexican vanilla,2,3.09124550004,0.189081650064,3.09124550004,0.479335708817,0.728082574553,0,9,1160.41243692
mexican vanilla,2,2.90277894841,0.0336894110862,2.90277894841,1.17336421479,0.550984249614,0,3,1056.68427496
triplemex,3,3.02006482348,0.687622079604,3.02006482348,1.00452326746,0.667719831995,1,4,1338.58169555
triplemex,3,1.94706410304,0.215769677181,1.94706410304,0.597927885456,0.593626600491,0,15,1039.59623045
mexican vanilla,2,1.71941505323,0.94053320577,1.71941505323,0.921585332147,0.521617702677,1,16,966.387311964
sweet cream,0,1.09697738346,1.4003572315,1.09697738346,0.931540757904,0.0186662245761,1,14,570.683567881
vanilla,1,2.30924502272,1.51090897944,2.30924502272,1.0797037298,0.496729244855,1,6,1012.42169468
mexican vanilla,2,2.05843083388,1.29782990134,2.05843083388,0.607880323046,0.709522272514,0,0,1023.62134988
mexican vanilla,2,2.69349921249,0.311176793251,2.69349921249,0.828727663566,1.29666618727,1,1,1078.51445278
sweet cream,0,2.442247082,0.0794784674082,2.442247082,1.3220082409,0.0920641932873,1,2,655.662816204
vanilla,1,2.1654067952,0.429178963563,2.1654067952,1.10042802406,0.669432356933,1,17,878.003585374
vanilla,1,0.215518042555,5.53039731425,0.215518042555,1.14146351502,0.642957452432,1,9,1114.71868852
sweet cream,0,2.33973818906,0.340072020737,2.33973818906,1.29693430611,0.993259252039,1,2,713.983787427
sweet cream,0,1.01156754874,1.18265872066,1.01156754874,0.736788722714,0.47560748255,0,9,504.965379194
vanilla,1,0.0978412760389,10.3881993457,0.0978412760389,1.04518634768,0.573504734731,0,6,1786.72694839
sweet cream,0,3.68280086424,0.461264819713,3.68280086424,1.00712017382,0.6833487238,1,11,1095.1143366
vanilla,1,3.51392762141,0.0712917904343,3.51392762141,1.28038329007,1.11904168845,0,9,1137.37082466
vanilla,1,1.43369037486,0.958184689083,1.43369037486,0.843405681318,0.0719862355184,0,10,699.496854305
triplemex,3,1.57565663271,0.272659840979,1.57565663271,0.966955383528,0.472215921937,0,16,957.159573489
vanilla,1,0.843170805039,0.484300733809,0.843170805039,1.37609199182,0.783573651904,1,8,518.625229861
vanilla,1,3.11848262229,0.280163139568,3.11848262229,0.973620874865,0.70959657956,0,3,1016.91392249
mexican vanilla,2,1.70047395268,0.580947962923,1.70047395268,1.13511943057,0.0231759359947,0,0,796.500434853
triplemex,3,1.62153697559,1.74568322984,1.62153697559,0.896249034473,0.488065877183,0,12,1169.81001451
vanilla,1,2.62318937762,0.0783505953859,2.62318937762,0.678233487756,0.918821873575,0,2,865.916895293
sweet cream,0,0.515663743454,1.63396941134,0.515663743454,0.767703754241,0.476781125051,0,11,458.992033852
triplemex,3,1.11924309827,1.47478586608,1.11924309827,0.801842347635,0.834624955808,0,3,975.17464105
sweet cream,0,0.955751708387,0.954211503943,0.955751708387,1.21161965117,0.34708763336,1,11,472.116991565
triplemex,3,1.92913739668,0.777306105537,1.92913739668,0.841271570804,0.0820055269937,0,8,1060.71071392
sweet cream,0,0.0648773513824,15.8332715982,0.0648773513824,0.7083527874,0.465785806295,0,8,2460.16619019
triplemex,3,3.47602281932,0.0612005706696,3.47602281932,0.982000834918,0.306050124368,0,11,1367.34430333
triplemex,3,1.84413097637,0.726550990232,1.84413097637,1.18743312611,0.545311897171,1,15,1100.7804525
triplemex,3,2.22731621564,0.339429455071,2.22731621564,0.882020146738,1.15009148247,0,1,1088.30420747
mexican vanilla,2,2.8148496452,0.495653415792,2.8148496452,0.823227871109,0.164751023511,0,11,1121.88379781
triplemex,3,1.71266695234,0.825391494992,1.71266695234,1.06294253798,0.327566928413,0,18,1077.85734906
sweet cream,0,4.0480910464,0.104251485994,4.0480910464,0.780460595937,0.268191116805,1,12,1115.31372511
vanilla,1,2.2098124523,0.153162059723,2.2098124523,0.646211594264,0.254022488191,1,2,748.298239197
sweet cream,0,0.122929585557,7.23855597188,0.122929585557,1.13425341534,0.400442876356,1,2,1163.61196331
triplemex,3,2.89784759551,0.895727808007,2.89784759551,0.79500252777,0.967581624329,1,14,1402.56017152
sweet cream,0,0.329561070589,3.0044506841,0.329561070589,1.09914059421,0.82936248499,1,5,616.319119265
vanilla,1,1.16937321007,1.45782483732,1.16937321007,0.7907076562,1.16118524642,0,13,777.401951687
triplemex,3,2.21179864469,0.787319006747,2.21179864469,1.07356857227,1.11235820143,0,19,1241.25397083
triplemex,3,1.99737572407,0.862561449928,1.99737572407,1.04966668232,0.479071921376,1,19,1175.07907804
triplemex,3,1.11129982601,0.803046934137,1.11129982601,0.973156895831,0.168007540588,1,4,853.467628818
sweet cream,0,2.02672433984,0.626231042822,2.02672433984,0.873960435939,0.948620497819,1,17,748.038449761
vanilla,1,2.68680014957,0.104769251905,2.68680014957,0.812215880561,0.389560530226,1,6,888.391178734
vanilla,1,1.70832422912,0.191799448195,1.70832422912,1.11387352485,0.998642727896,0,6,681.694099103
sweet cream,0,1.60386562472,0.834565608166,1.60386562472,0.961598748849,0.154587542355,1,8,589.573414512
sweet cream,0,0.921681049487,0.946663193713,0.921681049487,0.98412399504,1.54673279431,1,9,510.629373104
mexican vanilla,2,0.264683091005,4.80376363993,0.264683091005,0.882347576617,0.538757317919,0,5,1119.73196525
mexican vanilla,2,2.12012885852,0.704216131271,2.12012885852,1.00847735786,0.391221015977,0,8,977.293503981
triplemex,3,2.04242001213,1.09599056312,2.04242001213,1.02924046961,0.180548002155,0,3,1118.26491137
triplemex,3,2.08389345532,0.108861654783,2.08389345532,0.839807366769,0.392177089459,0,6,1004.62992546
vanilla,1,2.75916740288,1.88476209768,2.75916740288,1.39990190429,0.0330361062726,1,4,1150.35718592
mexican vanilla,2,0.075089173753,13.2418885569,0.075089173753,1.00664714496,0.793895633913,1,5,2359.80353583
triplemex,3,2.42851024262,0.327318863577,2.42851024262,1.1617891283,0.232585948028,0,15,1163.14900062
vanilla,1,2.10164765022,1.20068484186,2.10164765022,0.860009620447,0.469447617426,1,2,890.86709667
mexican vanilla,2,2.04370742938,0.171248076674,2.04370742938,0.706112408236,1.21024976575,0,8,916.7754564
mexican vanilla,2,1.34024669951,0.691834796677,1.34024669951,0.797594626563,0.32248964476,0,14,805.34213363
mexican vanilla,2,1.01672980355,1.12597589414,1.01672980355,1.29147007161,0.85461427294,0,15,825.141309229
mexican vanilla,2,3.09509743321,0.459941392589,3.09509743321,0.816262198659,0.143403276892,1,5,1163.46582862
sweet cream,0,3.38949963933,0.414136952078,3.38949963933,1.24279421338,0.100336406654,0,0,924.454626683
triplemex,3,1.77740447834,0.307062406713,1.77740447834,1.16252121452,0.13196332855,0,13,982.308816735
triplemex,3,3.8176644935,0.0781244718578,3.8176644935,1.17658927422,0.245840990104,0,5,1423.83955785
triplemex,3,3.03764747509,0.213341487878,3.03764747509,1.09008978076,0.136889553196,0,12,1277.97828786
triplemex,3,2.65867149439,0.0651817623935,2.65867149439,0.822485630741,0.348485540991,0,18,1199.44930005
triplemex,3,1.96189187037,0.064451124751,1.96189187037,1.06315606723,0.921208193012,1,19,1068.70629449
triplemex,3,2.09410106942,0.247065899222,2.09410106942,1.36388095183,1.19252669181,1,14,1120.12253444
sweet cream,0,2.62847689217,0.482423462888,2.62847689217,1.08309833693,0.919429994708,0,2,794.119028906
triplemex,3,1.96523919098,0.359820770033,1.96523919098,0.900701748508,0.244335578001,1,6,1013.70530614
mexican vanilla,2,1.20814527546,0.705199591572,1.20814527546,1.45169111888,0.222047731227,1,10,762.532173113
vanilla,1,2.42727959861,0.676424037196,2.42727959861,0.890377207358,0.428750714502,1,0,881.844058615
triplemex,3,3.61861286923,0.468148132674,3.61861286923,0.97126645421,0.0248683424026,1,8,1442.88898596
mexican vanilla,2,1.26235464147,0.147505615122,1.26235464147,0.851121083746,0.519983332305,1,12,712.522637922
vanilla,1,1.39062869726,0.918799029168,1.39062869726,1.14532662165,0.288582658872,0,14,716.068774606
vanilla,1,3.06909987474,0.160225738024,3.06909987474,1.27521802088,0.0541821526244,1,11,1004.21968119
sweet cream,0,3.34317667139,0.00620874700321,3.34317667139,0.954022341434,0.554796618167,0,4,892.097489537
sweet cream,0,3.43635701612,0.323086033069,3.43635701612,1.00920774028,0.413682551608,1,19,1039.30994849
sweet cream,0,1.96583100352,0.466371791578,1.96583100352,1.08755379033,0.197076081917,1,14,657.967754035
triplemex,3,2.89086924416,0.131820360813,2.89086924416,0.786311211238,0.37748691709,1,7,1221.65520071
sweet cream,0,3.11382471004,0.711078814559,3.11382471004,0.94769736622,0.495727964935,0,4,937.485976869
mexican vanilla,2,2.17736066776,0.0465777451176,2.17736066776,1.36994022959,0.65933460424,1,6,907.253080756
sweet cream,0,1.58798220151,0.0304178505225,1.58798220151,1.01089282699,1.02559577366,1,2,478.925159254
mexican vanilla,2,0.555435799494,1.24049828753,0.555435799494,0.729137422584,0.0303543355101,1,9,659.284509159
sweet cream,0,0.80837401368,1.71862148903,0.80837401368,1.11583782832,0.302726136237,0,9,528.949736214
mexican vanilla,2,2.55979126637,0.102899911203,2.55979126637,0.90450139025,0.451932165219,1,10,1017.21542266
mexican vanilla,2,2.36887936525,0.048088327902,2.36887936525,1.01196486436,1.25430899014,0,6,974.244258919
vanilla,1,2.38332968703,0.302766768257,2.38332968703,0.881918080508,1.08231079017,1,15,922.418321149
vanilla,1,1.8375170916,0.1500929727,1.8375170916,0.963171815202,1.09048887145,0,14,751.123036899
vanilla,1,1.27605888135,1.25039851629,1.27605888135,0.881898829015,0.362203925348,0,11,723.739884682
triplemex,3,2.20154786632,0.59681115458,2.20154786632,0.933342006175,0.210089272677,0,7,1103.87983945
sweet cream,0,2.05558066408,0.643560262527,2.05558066408,1.10666452316,0.0310482328193,1,17,713.834933224
mexican vanilla,2,1.89421985124,0.527081323911,1.89421985124,1.28358896443,0.0593329636525,0,5,864.852521295
mexican vanilla,2,2.59543332191,0.10562724311,2.59543332191,1.13471678948,0.523807199975,1,16,1061.97051126
vanilla,1,1.54555823514,0.651725438802,1.54555823514,1.02117786973,0.0147247947625,1,12,698.0540373
vanilla,1,2.36623137137,1.17421336058,2.36623137137,1.06752963818,0.338850874434,0,2,940.172627756
triplemex,3,0.3671719299,1.87749581893,0.3671719299,1.14944782267,0.941199374426,0,17,925.672906618
mexican vanilla,2,1.8393833817,0.286141357352,1.8393833817,1.12276333471,0.821001088239,1,14,904.799210117
mexican vanilla,2,0.54168599929,2.02607026702,0.54168599929,0.66754146103,0.102526091239,0,12,783.798676125
sweet cream,0,0.263373704133,3.53701730997,0.263373704133,1.06616980093,0.061170475204,1,4,635.983904697
sweet cream,0,1.65865450939,0.601824460653,1.65865450939,1.07041523538,0.754595764497,1,11,614.230406552
triplemex,3,2.92201199018,1.19218833668,2.92201199018,1.43311938796,0.111293320269,0,11,1392.36086917
vanilla,1,2.55363119614,0.310884850319,2.55363119614,0.982828551747,1.1418259422,0,7,921.994452107
mexican vanilla,2,2.90315730537,0.607946266808,2.90315730537,1.1655302738,1.081535544,1,16,1242.38228576
vanilla,1,1.356508559,0.97232212028,1.356508559,0.755485358639,1.27190838653,1,19,794.614759988
sweet cream,0,1.32630835104,0.53752088969,1.32630835104,1.14810585532,0.208720710683,0,8,471.826103591
vanilla,1,1.70734334035,0.888772890757,1.70734334035,1.25745481084,0.0775622751503,0,15,786.089520946
triplemex,3,1.93717051446,0.685013094213,1.93717051446,1.05026228797,0.659944750171,1,7,1082.44392856
sweet cream,0,3.27775046805,0.941811072175,3.27775046805,0.807307307215,1.82087431956,0,7,1093.21145227
mexican vanilla,2,0.287253407645,2.93484798436,0.287253407645,0.5970396648,0.276299009774,0,3,819.631817372
sweet cream,0,1.9329174399,0.121008336681,1.9329174399,1.08210122208,1.22744693108,1,1,584.409766808
mexican vanilla,2,1.9983105051,0.0788711073833,1.9983105051,1.00824149826,0.0739742742629,1,14,875.172938083
mexican vanilla,2,1.65546683787,1.77768920988,1.65546683787,1.44228126339,0.88857622071,1,16,1098.48715209
mexican vanilla,2,2.16428697754,0.663125074505,2.16428697754,1.01092866415,0.962755064156,0,15,1045.76568808
sweet cream,0,2.17030764898,0.972901434811,2.17030764898,0.891548920245,0.855128784367,1,13,811.400958047
vanilla,1,1.69901573285,0.235023225501,1.69901573285,0.919632462306,0.918103082809,1,18,748.269630877
mexican vanilla,2,2.15390531175,0.677295958673,2.15390531175,0.947981184718,0.329447871582,0,7,973.126964794
vanilla,1,0.210809036785,4.69399511939,0.210809036785,0.866973097305,0.166924197155,1,6,947.08352174
mexican vanilla,2,0.938674243589,0.620464214535,0.938674243589,1.11522591942,1.43862833888,0,17,767.591417377
mexican vanilla,2,3.01932581889,0.545452698488,3.01932581889,1.1006607564,0.787035400418,0,6,1188.80641557
triplemex,3,2.26158615674,0.103130059588,2.26158615674,1.37200868501,0.0710268853884,1,1,1019.39346187
vanilla,1,1.53701232963,0.00629776564567,1.53701232963,1.26673605356,0.577335732642,0,13,626.198422314
triplemex,3,1.67621214121,0.647923534543,1.67621214121,0.926885339608,0.0746999357692,0,5,963.391644989
sweet cream,0,1.8324447483,1.32677439129,1.8324447483,1.16875113608,0.569118662127,1,12,762.933287964
triplemex,3,2.50361938137,0.124053593933,2.50361938137,0.84758657065,0.230143875292,0,1,1078.80077076
